,outcome,age_range,self_defined_ethnicity,gender,datetime,outcome_object_id,outcome_object_name,latitude,longitude,type,officer_defined_ethnicity,object_of_search
0,A no further action disposal,18-24,White - Any other White background,Male,2018-11-01T11:30:43+00:00,bu-no-further-action,A no further action disposal,51.513389000000004,-0.08003400000000001,Person search,White,
1,Arrest,over 34,White - Any other White background,Male,2018-11-01T17:07:39+00:00,bu-arrest,Arrest,51.516496999999994,-0.094115,Person search,White,Stolen goods
2,Khat or Cannabis warning,25-34,Asian/Asian British - Any other Asian background,Male,2018-11-01T22:27:15+00:00,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.517032,-0.089451,Person search,Asian,Controlled drugs
5,A no further action disposal,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,2018-11-02T13:19:22+00:00,bu-no-further-action,A no further action disposal,51.51445,-0.100974,Person and Vehicle search,White,Controlled drugs
6,A no further action disposal,18-24,White - Any other White background,Male,2018-11-02T14:00:26+00:00,bu-no-further-action,A no further action disposal,51.508066,-0.08778,Person search,White,Stolen goods
7,A no further action disposal,25-34,Black/African/Caribbean/Black British - African,Male,2018-11-02T20:38:58+00:00,bu-no-further-action,A no further action disposal,51.518262,-0.088203,Person search,Black,Controlled drugs
9,A no further action disposal,18-24,,Male,2018-11-04T01:54:17+00:00,bu-no-further-action,A no further action disposal,51.513296999999994,-0.10195900000000001,Person search,White,Controlled drugs
12,A no further action disposal,25-34,Black/African/Caribbean/Black British - African,Male,2018-11-05T00:38:14+00:00,bu-no-further-action,A no further action disposal,51.509614,-0.079011,Person and Vehicle search,Black,Stolen goods
14,,18-24,Asian/Asian British - Bangladeshi,Male,2018-11-05T01:24:41+00:00,,,51.51005,-0.120396,Person and Vehicle search,Asian,Controlled drugs
15,A no further action disposal,25-34,Other ethnic group - Not stated,Female,2018-11-05T11:18:01+00:00,bu-no-further-action,A no further action disposal,51.516814000000004,-0.08162,Person search,Black,Controlled drugs
19,Khat or Cannabis warning,25-34,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Male,2018-11-05T23:18:45+00:00,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.508587,-0.078924,Person search,Asian,Controlled drugs
20,A no further action disposal,over 34,Black/African/Caribbean/Black British - Caribbean,Male,2018-11-05T23:31:52+00:00,bu-no-further-action,A no further action disposal,51.508587,-0.078924,Person search,Black,Controlled drugs
21,A no further action disposal,18-24,Asian/Asian British - Any other Asian background,Male,2018-11-05T23:37:47+00:00,bu-no-further-action,A no further action disposal,51.508587,-0.078924,Person search,Asian,Controlled drugs
22,A no further action disposal,,,Male,2018-11-06T00:16:56+00:00,bu-no-further-action,A no further action disposal,51.508587,-0.078924,Person search,,Controlled drugs
26,A no further action disposal,18-24,Asian/Asian British - Indian,Male,2018-11-06T02:28:13+00:00,bu-no-further-action,A no further action disposal,51.516047,-0.075411,Person and Vehicle search,Asian,Controlled drugs
32,A no further action disposal,25-34,Asian/Asian British - Bangladeshi,Male,2018-11-07T01:46:48+00:00,bu-no-further-action,A no further action disposal,51.513928,-0.108231,Person search,Asian,Controlled drugs
33,A no further action disposal,25-34,Asian/Asian British - Bangladeshi,Male,2018-11-07T01:52:18+00:00,bu-no-further-action,A no further action disposal,51.513884999999995,-0.10274100000000001,Person and Vehicle search,Asian,Controlled drugs
35,Arrest,18-24,Black/African/Caribbean/Black British - Caribbean,Male,2018-11-09T00:15:48+00:00,bu-arrest,Arrest,51.518433,-0.078856,Person and Vehicle search,Black,Controlled drugs
40,Arrest,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,2018-11-09T12:05:40+00:00,bu-arrest,Arrest,51.517576,-0.079786,Person search,White,Article for use in theft
41,A no further action disposal,over 34,White - Any other White background,Male,2018-11-09T12:31:49+00:00,bu-no-further-action,A no further action disposal,51.512598,-0.084967,Person search,White,Offensive weapons
43,Arrest,18-24,White - Any other White background,Male,2018-11-10T05:47:01+00:00,bu-arrest,Arrest,51.527164,-0.080478,Person search,White,Controlled drugs
44,A no further action disposal,18-24,Black/African/Caribbean/Black British - African,Male,2018-11-11T00:37:24+00:00,bu-no-further-action,A no further action disposal,51.521353999999995,-0.077667,Person search,Black,Controlled drugs
45,A no further action disposal,25-34,White - Any other White background,Male,2018-11-11T15:02:01+00:00,bu-no-further-action,A no further action disposal,51.512598,-0.084967,Person search,White,Stolen goods
46,A no further action disposal,over 34,White - Any other White background,Male,2018-11-11T15:22:55+00:00,bu-no-further-action,A no further action disposal,51.512598,-0.084967,Person search,White,Article for use in theft
47,A no further action disposal,over 34,White - Any other White background,Male,2018-11-11T15:40:09+00:00,bu-no-further-action,A no further action disposal,51.512598,-0.084967,Person search,White,Article for use in theft
48,A no further action disposal,over 34,White - Any other White background,Male,2018-11-12T15:41:30+00:00,bu-no-further-action,A no further action disposal,51.516814000000004,-0.08162,Person search,White,Article for use in theft
53,A no further action disposal,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,2018-11-13T20:38:36+00:00,bu-no-further-action,A no further action disposal,51.518262,-0.088203,Person search,White,
54,Arrest,18-24,Black/African/Caribbean/Black British - African,Male,2018-11-14T20:05:02+00:00,bu-arrest,Arrest,51.516966,-0.1059,Person and Vehicle search,Black,Controlled drugs
55,Arrest,over 34,Black/African/Caribbean/Black British - Caribbean,Male,2018-11-15T11:13:23+00:00,bu-arrest,Arrest,51.512598,-0.084967,Person search,Black,Stolen goods
57,A no further action disposal,over 34,White - Any other White background,Male,2018-11-15T18:35:08+00:00,bu-no-further-action,A no further action disposal,51.51445,-0.100974,Person search,White,Article for use in theft
58,A no further action disposal,18-24,Asian/Asian British - Bangladeshi,Male,2018-11-15T23:49:43+00:00,bu-no-further-action,A no further action disposal,51.514203,-0.094628,Person search,Asian,Controlled drugs
60,A no further action disposal,25-34,White - Any other White background,Male,2018-11-16T10:36:11+00:00,bu-no-further-action,A no further action disposal,51.51265,-0.101452,Person search,White,Offensive weapons
61,A no further action disposal,18-24,Black/African/Caribbean/Black British - African,Male,2018-11-16T13:45:40+00:00,bu-no-further-action,A no further action disposal,51.511661,-0.104275,Person search,Black,Offensive weapons
62,Arrest,over 34,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Male,2018-11-17T00:15:26+00:00,bu-arrest,Arrest,51.514753000000006,-0.082571,Person and Vehicle search,Asian,Controlled drugs
63,A no further action disposal,18-24,White - Any other White background,Male,2018-11-17T17:52:13+00:00,bu-no-further-action,A no further action disposal,51.517678000000004,-0.107672,Person and Vehicle search,White,Controlled drugs
64,A no further action disposal,18-24,Other ethnic group - Not stated,Male,2018-11-17T17:53:29+00:00,bu-no-further-action,A no further action disposal,51.516966,-0.1059,Person and Vehicle search,White,Controlled drugs
65,Arrest,over 34,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Male,2018-11-17T23:27:45+00:00,bu-arrest,Arrest,51.512462,-0.07609500000000001,Person and Vehicle search,Asian,Controlled drugs
66,Arrest,25-34,Black/African/Caribbean/Black British - African,Male,2018-11-18T04:12:58+00:00,bu-arrest,Arrest,51.511625,-0.081549,Person and Vehicle search,Black,Controlled drugs
67,A no further action disposal,25-34,Other ethnic group - Not stated,Male,2018-11-18T04:25:26+00:00,bu-no-further-action,A no further action disposal,51.515546,-0.070056,Person and Vehicle search,Asian,Controlled drugs
68,Penalty Notice for Disorder,18-24,Asian/Asian British - Any other Asian background,Male,2018-11-19T03:53:21+00:00,bu-penalty-notice,Penalty Notice for Disorder,51.517909,-0.10970899999999999,Person and Vehicle search,Asian,Controlled drugs
69,A no further action disposal,18-24,Black/African/Caribbean/Black British - African,Male,2018-11-19T13:39:14+00:00,bu-no-further-action,A no further action disposal,51.516814000000004,-0.08162,Person and Vehicle search,Black,Controlled drugs
71,A no further action disposal,25-34,Other ethnic group - Not stated,Male,2018-11-19T22:17:23+00:00,bu-no-further-action,A no further action disposal,51.512598,-0.084967,Person and Vehicle search,Asian,Controlled drugs
72,A no further action disposal,25-34,Black/African/Caribbean/Black British - Caribbean,Male,2018-11-19T22:19:17+00:00,bu-no-further-action,A no further action disposal,51.512598,-0.084967,Person search,Black,Controlled drugs
73,Arrest,25-34,Asian/Asian British - Bangladeshi,Male,2018-11-21T11:09:02+00:00,bu-arrest,Arrest,51.518864,-0.097562,Person search,Asian,Controlled drugs
74,A no further action disposal,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,2018-11-21T13:06:40+00:00,bu-no-further-action,A no further action disposal,51.510671,-0.084284,Person search,White,Article for use in theft
75,Arrest,25-34,White - Any other White background,Female,2018-11-21T14:53:13+00:00,bu-arrest,Arrest,51.514409,-0.079674,Person search,White,Offensive weapons
76,A no further action disposal,over 34,Black/African/Caribbean/Black British - Caribbean,Male,2018-11-21T19:08:00+00:00,bu-no-further-action,A no further action disposal,51.508066,-0.08778,Person search,Black,Stolen goods
77,A no further action disposal,25-34,White - Any other White background,Female,2018-11-22T15:03:36+00:00,bu-no-further-action,A no further action disposal,51.514528000000006,-0.080952,Person search,White,Offensive weapons
78,A no further action disposal,25-34,Asian/Asian British - Bangladeshi,Male,2018-11-23T04:05:54+00:00,bu-no-further-action,A no further action disposal,51.516373,-0.069531,Person and Vehicle search,Asian,Controlled drugs
79,A no further action disposal,25-34,Other ethnic group - Not stated,Male,2018-11-23T04:13:50+00:00,bu-no-further-action,A no further action disposal,51.516373,-0.069531,Person search,Asian,Controlled drugs
80,A no further action disposal,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,2018-11-23T09:35:52+00:00,bu-no-further-action,A no further action disposal,51.515142,-0.09764500000000001,Person search,White,Article for use in theft
81,Arrest,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,2018-11-23T09:39:32+00:00,bu-arrest,Arrest,51.514203,-0.094628,Person search,White,
83,A no further action disposal,25-34,White - Any other White background,Male,2018-11-23T21:02:48+00:00,bu-no-further-action,A no further action disposal,51.516496999999994,-0.094115,Person and Vehicle search,White,Controlled drugs
84,A no further action disposal,18-24,Asian/Asian British - Any other Asian background,Male,2018-11-23T22:54:45+00:00,bu-no-further-action,A no further action disposal,51.517576,-0.079786,Person search,Asian,Offensive weapons
85,A no further action disposal,18-24,Other ethnic group - Not stated,Male,2018-11-23T22:57:47+00:00,bu-no-further-action,A no further action disposal,51.517576,-0.079786,Person search,Asian,Offensive weapons
87,Arrest,18-24,Asian/Asian British - Bangladeshi,Male,2018-11-24T03:12:42+00:00,bu-arrest,Arrest,51.506254999999996,-0.074901,Person and Vehicle search,Asian,Controlled drugs
88,Arrest,over 34,Asian/Asian British - Bangladeshi,Male,2018-11-24T03:22:55+00:00,bu-arrest,Arrest,51.506254999999996,-0.074901,Person and Vehicle search,Asian,Controlled drugs
89,Arrest,18-24,Asian/Asian British - Bangladeshi,Male,2018-11-24T03:32:55+00:00,bu-arrest,Arrest,51.506254999999996,-0.074901,Person and Vehicle search,Asian,Controlled drugs
91,,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,2018-11-24T17:41:34+00:00,,,51.521463,-0.107054,Person search,White,
92,A no further action disposal,18-24,White - English/Welsh/Scottish/Northern Irish/British,Female,2018-11-24T23:54:31+00:00,bu-no-further-action,A no further action disposal,51.514158,-0.10017899999999999,Person search,White,Controlled drugs
93,Penalty Notice for Disorder,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,2018-11-24T23:57:59+00:00,bu-penalty-notice,Penalty Notice for Disorder,51.512952,-0.096814,Person and Vehicle search,White,Controlled drugs
96,A no further action disposal,25-34,White - Any other White background,Male,2018-11-25T02:20:00+00:00,bu-no-further-action,A no further action disposal,51.514763,-0.075508,Person and Vehicle search,White,Controlled drugs
97,A no further action disposal,18-24,Other ethnic group - Not stated,Male,2018-11-25T05:00:12+00:00,bu-no-further-action,A no further action disposal,51.514763,-0.075508,Person search,Black,Controlled drugs
98,Khat or Cannabis warning,,,Male,2018-11-27T02:42:53+00:00,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.514753000000006,-0.082571,Person and Vehicle search,,Controlled drugs
101,Arrest,18-24,Black/African/Caribbean/Black British - African,Male,2018-11-28T06:39:15+00:00,bu-arrest,Arrest,51.511179999999996,-0.07306499999999999,Person and Vehicle search,Black,Controlled drugs
102,A no further action disposal,10-17,Black/African/Caribbean/Black British - African,Male,2018-11-28T11:47:14+00:00,bu-no-further-action,A no further action disposal,51.524305,-0.107628,Person search,Black,Stolen goods
106,A no further action disposal,18-24,Asian/Asian British - Bangladeshi,Male,2018-11-28T21:34:00+00:00,bu-no-further-action,A no further action disposal,51.514151,-0.07495800000000001,Person and Vehicle search,Asian,Controlled drugs
108,A no further action disposal,over 34,White - Any other White background,Male,2018-11-29T06:38:19+00:00,bu-no-further-action,A no further action disposal,51.516351,-0.082965,Person and Vehicle search,White,Controlled drugs
109,,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,2018-11-29T22:05:24+00:00,,,51.517576,-0.079786,Person search,White,Controlled drugs
110,Arrest,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,2018-11-29T23:30:49+00:00,bu-arrest,Arrest,51.515075,-0.077513,Person search,White,Controlled drugs
111,Khat or Cannabis warning,18-24,Black/African/Caribbean/Black British - Caribbean,Male,2018-11-30T01:38:32+00:00,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.51768,-0.078484,Person search,Black,Controlled drugs
112,Khat or Cannabis warning,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,2018-11-30T01:42:48+00:00,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.51768,-0.078484,Person search,White,Controlled drugs
113,Penalty Notice for Disorder,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,2018-11-30T01:46:27+00:00,bu-penalty-notice,Penalty Notice for Disorder,51.51768,-0.078484,Person and Vehicle search,White,Controlled drugs
114,A no further action disposal,18-24,Black/African/Caribbean/Black British - African,Male,2018-11-30T01:50:04+00:00,bu-no-further-action,A no further action disposal,51.51768,-0.078484,Person search,Black,Controlled drugs
116,Arrest,25-34,Asian/Asian British - Indian,Male,2018-11-30T04:17:05+00:00,bu-arrest,Arrest,51.512652,-0.09271900000000001,Person search,Asian,Controlled drugs
117,Arrest,18-24,White - Any other White background,Male,2018-11-30T04:27:31+00:00,bu-arrest,Arrest,51.521353999999995,-0.077667,Person and Vehicle search,White,Controlled drugs
118,A no further action disposal,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,2018-11-30T15:14:27+00:00,bu-no-further-action,A no further action disposal,51.518226,-0.111497,Person search,White,Controlled drugs
119,A no further action disposal,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,2018-11-30T15:31:39+00:00,bu-no-further-action,A no further action disposal,51.518226,-0.111497,Person search,White,Controlled drugs
120,Arrest,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,2018-11-30T16:12:12+00:00,bu-arrest,Arrest,51.518462,-0.093845,Person search,White,Article for use in theft
123,A no further action disposal,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,2018-12-02T01:44:09+00:00,bu-no-further-action,A no further action disposal,51.52029,-0.078591,Person search,White,Controlled drugs
124,Arrest,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,2018-12-02T03:22:32+00:00,bu-arrest,Arrest,51.512063,-0.11413,Person and Vehicle search,White,Controlled drugs
125,Arrest,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,2018-12-02T03:58:44+00:00,bu-arrest,Arrest,51.520984999999996,-0.078749,Person and Vehicle search,White,Controlled drugs
126,Khat or Cannabis warning,25-34,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Male,2018-12-02T04:03:16+00:00,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.519783000000004,-0.086655,Person search,Black,Controlled drugs
127,Arrest,25-34,Other ethnic group - Not stated,Male,2018-12-02T06:11:35+00:00,bu-arrest,Arrest,51.514151,-0.07495800000000001,Person search,Black,Controlled drugs
130,Khat or Cannabis warning,18-24,White - Any other White background,Male,2018-12-03T00:03:44+00:00,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.517588,-0.076686,Person search,White,Controlled drugs
131,A no further action disposal,18-24,Black/African/Caribbean/Black British - African,Male,2018-12-04T14:04:48+00:00,bu-no-further-action,A no further action disposal,51.517148999999996,-0.08776,Person and Vehicle search,Black,Controlled drugs
132,A no further action disposal,over 34,White - English/Welsh/Scottish/Northern Irish/British,Female,2018-12-04T14:33:08+00:00,bu-no-further-action,A no further action disposal,51.517576,-0.079786,Person and Vehicle search,White,Controlled drugs
134,A no further action disposal,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,2018-12-05T07:41:31+00:00,bu-no-further-action,A no further action disposal,51.518511,-0.08531,Person search,White,Article for use in theft
135,Arrest,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,2018-12-05T14:57:23+00:00,bu-arrest,Arrest,51.512528,-0.08128099999999999,Person search,White,Article for use in theft
136,Arrest,over 34,Other ethnic group - Not stated,Male,2018-12-05T17:49:42+00:00,bu-arrest,Arrest,51.508066,-0.08778,Person and Vehicle search,White,Controlled drugs
138,Community resolution,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,2018-12-06T03:06:50+00:00,bu-community-resolution,Community resolution,51.516233,-0.077392,Person search,White,Controlled drugs
139,Arrest,18-24,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Male,2018-12-06T06:28:05+00:00,bu-arrest,Arrest,51.515033,-0.07825,Person and Vehicle search,White,Offensive weapons
140,Arrest,18-24,Asian/Asian British - Bangladeshi,Male,2018-12-06T13:13:03+00:00,bu-arrest,Arrest,51.520984999999996,-0.078749,Person and Vehicle search,Asian,Controlled drugs
141,A no further action disposal,25-34,,Male,2018-12-07T03:35:27+00:00,bu-no-further-action,A no further action disposal,51.517431,-0.082458,Person search,,Controlled drugs
142,Arrest,25-34,Other ethnic group - Not stated,Male,2018-12-07T13:53:20+00:00,bu-arrest,Arrest,51.514461,-0.09226799999999999,Person and Vehicle search,White,Controlled drugs
143,A no further action disposal,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,2018-12-07T18:23:55+00:00,bu-no-further-action,A no further action disposal,51.515281,-0.084105,Person search,White,Offensive weapons
146,A no further action disposal,over 34,White - Any other White background,Male,2018-12-08T03:31:32+00:00,bu-no-further-action,A no further action disposal,51.520348,-0.095914,Person search,White,Article for use in theft
147,Arrest,18-24,Asian/Asian British - Pakistani,Male,2018-12-08T04:08:49+00:00,bu-arrest,Arrest,51.51768,-0.078484,Person search,Asian,Stolen goods
148,A no further action disposal,over 34,Asian/Asian British - Indian,Male,2018-12-08T04:57:42+00:00,bu-no-further-action,A no further action disposal,51.515033,-0.07825,Person search,Asian,Controlled drugs
149,A no further action disposal,18-24,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Male,2018-12-08T05:03:51+00:00,bu-no-further-action,A no further action disposal,51.515504,-0.07627,Person search,White,Stolen goods
150,A no further action disposal,over 34,White - Any other White background,Male,2018-12-08T15:45:24+00:00,bu-no-further-action,A no further action disposal,51.518226,-0.111497,Person search,White,Article for use in theft
151,A no further action disposal,25-34,White - Any other White background,Female,2018-12-09T02:32:09+00:00,bu-no-further-action,A no further action disposal,51.517148999999996,-0.08776,Person search,White,Controlled drugs
152,A no further action disposal,25-34,White - Any other White background,Female,2018-12-09T02:33:32+00:00,bu-no-further-action,A no further action disposal,51.517148999999996,-0.08776,Person search,White,Controlled drugs
153,Arrest,over 34,Other ethnic group - Not stated,Male,2018-12-09T05:37:11+00:00,bu-arrest,Arrest,51.516966,-0.1059,Person and Vehicle search,,Controlled drugs
154,A no further action disposal,25-34,Other ethnic group - Not stated,Male,2018-12-10T02:46:56+00:00,bu-no-further-action,A no further action disposal,51.51768,-0.078484,Person search,Black,Controlled drugs
156,Arrest,25-34,Black/African/Caribbean/Black British - African,Male,2018-12-10T05:38:24+00:00,bu-arrest,Arrest,51.51768,-0.078484,Person and Vehicle search,Black,Controlled drugs
157,A no further action disposal,25-34,White - Any other White background,Male,2018-12-10T12:30:34+00:00,bu-no-further-action,A no further action disposal,51.510671,-0.084284,Person search,White,Article for use in theft
158,A no further action disposal,18-24,White - Any other White background,Female,2018-12-10T15:43:34+00:00,bu-no-further-action,A no further action disposal,51.511625,-0.081549,Person search,White,Article for use in theft
159,A no further action disposal,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,2018-12-10T15:53:13+00:00,bu-no-further-action,A no further action disposal,51.51637,-0.081912,Person search,White,Article for use in theft
160,Khat or Cannabis warning,,,Male,2018-12-11T15:44:51+00:00,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.516966,-0.1059,Person search,,Controlled drugs
161,A no further action disposal,,,Female,2018-12-11T15:46:52+00:00,bu-no-further-action,A no further action disposal,51.516966,-0.1059,Person search,,Controlled drugs
164,Khat or Cannabis warning,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,2018-12-12T04:37:07+00:00,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.513051000000004,-0.104001,Person and Vehicle search,White,Controlled drugs
166,A no further action disposal,25-34,White - Any other White background,Male,2018-12-26T07:04:15+00:00,bu-no-further-action,A no further action disposal,51.517678000000004,-0.107672,Person search,White,Controlled drugs
167,Arrest,18-24,White - Any other White background,Male,2018-12-13T18:16:27+00:00,bu-arrest,Arrest,51.512651,-0.08655,Person search,White,Evidence of offences under the Act
168,A no further action disposal,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,2018-12-13T18:47:43+00:00,bu-no-further-action,A no further action disposal,51.504245000000004,-0.07624,Person and Vehicle search,White,Controlled drugs
171,Arrest,25-34,White - Any other White background,Male,2018-12-14T09:26:06+00:00,bu-arrest,Arrest,51.520984999999996,-0.078749,Person and Vehicle search,White,Controlled drugs
174,A no further action disposal,over 34,Other ethnic group - Not stated,Male,2018-12-14T19:28:33+00:00,bu-no-further-action,A no further action disposal,51.513377,-0.096363,Person search,Asian,Stolen goods
175,Arrest,25-34,White - Any other White background,Male,2018-12-14T23:36:07+00:00,bu-arrest,Arrest,51.51962,-0.088766,Person and Vehicle search,White,Controlled drugs
176,A no further action disposal,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,2018-12-15T01:21:07+00:00,bu-no-further-action,A no further action disposal,51.518262,-0.088203,Person and Vehicle search,White,Article for use in theft
177,A no further action disposal,25-34,Other ethnic group - Not stated,Male,2018-12-15T20:38:17+00:00,bu-no-further-action,A no further action disposal,51.518262,-0.088203,Person search,White,Controlled drugs
178,,18-24,Black/African/Caribbean/Black British - African,Male,2018-12-16T20:36:51+00:00,,,51.513333,-0.088727,Person search,Black,Controlled drugs
179,A no further action disposal,25-34,Other ethnic group - Not stated,Male,2018-12-18T12:28:14+00:00,bu-no-further-action,A no further action disposal,51.509313,-0.07385,Person search,Black,Article for use in theft
182,Community resolution,25-34,Black/African/Caribbean/Black British - African,Female,2018-12-18T17:26:43+00:00,bu-community-resolution,Community resolution,51.511625,-0.081549,Person search,Black,Stolen goods
183,Community resolution,over 34,White - English/Welsh/Scottish/Northern Irish/British,Female,2018-12-18T17:38:07+00:00,bu-community-resolution,Community resolution,51.511625,-0.081549,Person search,White,Stolen goods
184,Arrest,10-17,Black/African/Caribbean/Black British - African,Male,2018-12-18T18:29:28+00:00,bu-arrest,Arrest,51.515404,-0.102721,Person search,Black,Offensive weapons
186,Arrest,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,2018-12-19T13:59:19+00:00,bu-arrest,Arrest,51.521390999999994,-0.095381,Person search,White,Article for use in theft
187,Khat or Cannabis warning,25-34,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Male,2018-12-19T18:48:29+00:00,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.517576,-0.079786,Person search,Black,Controlled drugs
188,Arrest,over 34,Other ethnic group - Not stated,Male,2018-12-19T21:09:33+00:00,bu-arrest,Arrest,51.512598,-0.084967,Person search,White,Stolen goods
190,A no further action disposal,,,Male,2018-12-20T16:28:03+00:00,bu-no-further-action,A no further action disposal,51.516351,-0.082965,Person search,,Controlled drugs
192,A no further action disposal,25-34,Black/African/Caribbean/Black British - African,Male,2018-12-20T22:40:39+00:00,bu-no-further-action,A no further action disposal,51.514203,-0.094628,Person and Vehicle search,Black,Article for use in theft
194,Arrest,over 34,Other ethnic group - Not stated,Male,2018-12-21T12:02:07+00:00,bu-arrest,Arrest,51.511625,-0.081549,Person search,White,Stolen goods
195,A no further action disposal,25-34,Black/African/Caribbean/Black British - African,Female,2018-12-21T13:51:41+00:00,bu-no-further-action,A no further action disposal,51.514203,-0.094628,Person search,Black,Article for use in theft
199,A no further action disposal,18-24,Asian/Asian British - Bangladeshi,Male,2018-12-22T03:19:44+00:00,bu-no-further-action,A no further action disposal,51.514933,-0.074896,Person search,Asian,Controlled drugs
200,,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,2018-12-22T14:04:05+00:00,,,51.518249,-0.071484,Person search,White,Firearms
206,Arrest,18-24,White - Any other White background,Male,2018-12-22T22:53:37+00:00,bu-arrest,Arrest,51.512598,-0.084967,Person search,White,Article for use in theft
207,A no further action disposal,18-24,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Male,2018-12-23T01:59:37+00:00,bu-no-further-action,A no further action disposal,51.517244,-0.080376,Person search,Black,
208,Arrest,25-34,Other ethnic group - Not stated,Male,2018-12-24T09:36:37+00:00,bu-arrest,Arrest,51.509775,-0.08501399999999999,Person and Vehicle search,White,Controlled drugs
209,A no further action disposal,over 34,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Male,2018-12-24T14:50:54+00:00,bu-no-further-action,A no further action disposal,51.511625,-0.081549,Person search,Black,Article for use in theft
210,A no further action disposal,25-34,Asian/Asian British - Bangladeshi,Male,2018-12-25T00:31:31+00:00,bu-no-further-action,A no further action disposal,51.508971,-0.078779,Person and Vehicle search,Asian,Controlled drugs
211,A no further action disposal,25-34,Asian/Asian British - Bangladeshi,Male,2018-12-25T06:50:29+00:00,bu-no-further-action,A no further action disposal,51.522615,-0.077253,Person and Vehicle search,Asian,Controlled drugs
212,A no further action disposal,over 34,Asian/Asian British - Bangladeshi,Male,2018-12-25T07:00:35+00:00,bu-no-further-action,A no further action disposal,51.522615,-0.077253,Person and Vehicle search,Asian,Controlled drugs
213,Arrest,over 34,Asian/Asian British - Bangladeshi,Male,2018-12-25T07:08:32+00:00,bu-arrest,Arrest,51.522615,-0.077253,Person and Vehicle search,Asian,Controlled drugs
214,Arrest,over 34,Other ethnic group - Not stated,Female,2018-12-25T21:44:35+00:00,bu-arrest,Arrest,51.512598,-0.084967,Person search,White,Article for use in theft
215,A no further action disposal,18-24,White - Any other White background,Male,2018-12-26T07:08:57+00:00,bu-no-further-action,A no further action disposal,51.517678000000004,-0.107672,Person search,White,Controlled drugs
216,A no further action disposal,18-24,White - Any other White background,Male,2018-12-26T07:12:31+00:00,bu-no-further-action,A no further action disposal,51.517678000000004,-0.107672,Person search,White,Controlled drugs
217,A no further action disposal,18-24,Other ethnic group - Not stated,Female,2018-12-26T15:03:57+00:00,bu-no-further-action,A no further action disposal,51.516767,-0.098572,Person search,White,Offensive weapons
218,Community resolution,18-24,Other ethnic group - Not stated,Male,2018-12-27T21:38:10+00:00,bu-community-resolution,Community resolution,51.516121999999996,-0.077224,Person search,Asian,Controlled drugs
219,Community resolution,10-17,Asian/Asian British - Bangladeshi,Male,2018-12-27T22:11:10+00:00,bu-community-resolution,Community resolution,51.516121999999996,-0.077224,Person and Vehicle search,Asian,Controlled drugs
220,A no further action disposal,,,Male,2018-12-27T22:15:58+00:00,bu-no-further-action,A no further action disposal,51.516121999999996,-0.077224,Person search,,Controlled drugs
