,outcome,age_range,self_defined_ethnicity,gender,datetime,outcome_object_id,outcome_object_name,latitude,longitude,type,officer_defined_ethnicity,object_of_search
4057,A no further action disposal,10-17,Other ethnic group - Not stated,Male,2020-06-22T03:38:57+00:00,bu-no-further-action,A no further action disposal,51.51142,-0.097699,Person search,White,Controlled drugs
4058,A no further action disposal,10-17,White - Irish,Male,2020-06-22T03:39:05+00:00,bu-no-further-action,A no further action disposal,51.51142,-0.097699,Person search,White,Controlled drugs
4059,A no further action disposal,10-17,White - Any other White background,Male,2020-06-22T04:11:23+00:00,bu-no-further-action,A no further action disposal,51.51142,-0.097699,Person search,White,Controlled drugs
4060,A no further action disposal,,Other ethnic group - Not stated,Male,2020-06-22T04:48:15+00:00,bu-no-further-action,A no further action disposal,51.51142,-0.097699,Person search,White,Controlled drugs
4061,A no further action disposal,10-17,White - Any other White background,Male,2020-06-22T04:53:01+00:00,bu-no-further-action,A no further action disposal,51.51142,-0.097699,Person search,White,Controlled drugs
4062,A no further action disposal,18-24,White - Irish,Male,2020-06-22T09:51:21+00:00,bu-no-further-action,A no further action disposal,51.516814000000004,-0.08162,Person search,White,Controlled drugs
4064,Arrest,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,2020-06-23T04:26:52+00:00,bu-arrest,Arrest,51.518679999999996,-0.085173,Person search,White,Article for use in theft
4065,A no further action disposal,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,2020-06-23T06:10:16+00:00,bu-no-further-action,A no further action disposal,51.519783000000004,-0.086655,Person search,White,Article for use in theft
4066,A no further action disposal,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,2020-06-23T01:00:50+00:00,bu-no-further-action,A no further action disposal,51.509848,-0.104494,Person search,White,Article for use in theft
4067,A no further action disposal,25-34,Other ethnic group - Not stated,Male,2020-06-23T02:22:49+00:00,bu-no-further-action,A no further action disposal,51.515739,-0.100632,Person and Vehicle search,Asian,Controlled drugs
4068,Arrest,18-24,Other ethnic group - Any other ethnic group,Male,2020-06-23T05:13:34+00:00,bu-arrest,Arrest,51.51768,-0.078484,Person search,Black,Controlled drugs
4070,A no further action disposal,,,Male,2020-06-24T06:02:54+00:00,bu-no-further-action,A no further action disposal,51.510913,-0.101395,Person search,,Controlled drugs
4071,A no further action disposal,18-24,Other ethnic group - Not stated,Male,2020-06-24T06:14:00+00:00,bu-no-further-action,A no further action disposal,51.510913,-0.101395,Person search,Asian,Controlled drugs
4072,Arrest,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,2020-06-24T04:59:43+00:00,bu-arrest,Arrest,51.519017,-0.09981799999999999,Person search,White,Stolen goods
4073,A no further action disposal,over 34,Other ethnic group - Not stated,Male,2020-06-24T08:56:12+00:00,bu-no-further-action,A no further action disposal,51.515307,-0.097277,Person search,White,Stolen goods
4074,Arrest,25-34,White - English/Welsh/Scottish/Northern Irish/British,Female,2020-06-25T00:23:16+00:00,bu-arrest,Arrest,51.516346999999996,-0.104887,Person and Vehicle search,White,Controlled drugs
4075,A no further action disposal,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,2020-06-26T05:31:56+00:00,bu-no-further-action,A no further action disposal,51.514151,-0.07495800000000001,Person and Vehicle search,White,Controlled drugs
4076,A no further action disposal,25-34,White - Any other White background,Male,2020-06-26T05:58:35+00:00,bu-no-further-action,A no further action disposal,51.514151,-0.07495800000000001,Person search,White,Controlled drugs
4077,Khat or Cannabis warning,25-34,White - English/Welsh/Scottish/Northern Irish/British,Female,2020-06-26T08:22:20+00:00,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.514151,-0.07495800000000001,Person search,White,Controlled drugs
